I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
Total_Write		900m		300m		3		15		0.955091s
Read		900m		300m		3		0		0.847031s
Read		900m		300m		3		1		0.901907s
Read		900m		300m		3		2		0.911909s
Read		900m		300m		3		3		0.091951s
Read		900m		300m		3		4		0.062077s
Read		900m		300m		3		5		0.056647s
Read		900m		300m		3		6		0.056337s
Read		900m		300m		3		7		0.055563s
Read		900m		300m		3		8		0.055752s
Read		900m		300m		3		9		0.055472s
Read		900m		300m		3		10		0.059162s
Read		900m		300m		3		11		0.060532s
Read		900m		300m		3		12		0.059336s
Read		900m		300m		3		13		0.059459s
Read		900m		300m		3		14		0.058952s
Total_Read		4500m		300m		3		15		0.226139s
AIO_Write		900m		300m		3		15		3.07317s
AIO_Read		900m		300m		3		15		2.38399s
MMap_Write		900m		300m		3		15		3.65403s
MMap_Read		900m		300m		3		15		4.36259s
UMmap_Write		900m		300m		3		15		3.04242s
UMmap_Read		900m		300m		3		15		4.9041s
